,0
0,0.48
1,0.68
2,0.76
3,0.76
4,0.64
5,0.72
6,0.56
7,0.76
8,0.84
9,0.8
10,0.64
11,0.68
12,0.76
13,0.8
14,0.76
15,0.68
16,0.68
17,0.76
18,0.76
19,0.84
20,0.72
21,0.88
22,0.8
23,0.68
24,0.72
25,0.68
26,0.6
27,0.6
28,0.72
29,0.6
30,0.76
31,0.68
32,0.44
33,0.76
34,0.52
35,0.76
36,0.64
37,0.8
38,0.64
39,0.68
40,0.76
41,0.76
42,0.68
43,0.68
44,0.92
45,0.68
46,0.72
47,0.76
48,0.92
49,0.72
50,0.44
51,0.48
52,0.52
53,0.36
54,0.52
55,0.32
56,0.56
57,0.36
58,0.48
59,0.28
60,0.52
61,0.6
62,0.56
63,0.68
64,0.52
65,0.52
66,0.68
67,0.52
68,0.6
69,0.52
70,0.48
71,0.68
72,0.72
73,0.6
74,0.64
75,0.72
76,0.84
77,0.76
78,0.88
79,0.8
80,0.76
81,0.96
82,0.6
83,0.8
84,0.76
85,0.68
86,0.88
87,0.52
88,0.84
89,0.76
90,0.88
91,0.8
92,0.84
93,0.8
94,0.84
95,0.8
96,0.84
97,0.76
98,0.8
99,0.8
100,0.96
