,0
0,1.0
1,1.0
2,1.0
3,1.0
4,1.0
5,1.0
6,1.0
7,1.0
8,1.0
9,1.0
10,1.0
11,1.0
12,1.0
13,1.0
14,1.0
15,1.0
16,1.0
17,1.0
18,1.0
19,1.0
20,1.0
21,1.0
22,1.0
23,1.0
24,1.0
25,1.0
26,1.0
27,1.0
28,1.0
29,1.0
30,1.0
31,0.96
32,1.0
33,1.0
34,1.0
35,1.0
36,0.96
37,1.0
38,1.0
39,1.0
40,1.0
41,1.0
42,1.0
43,1.0
44,1.0
45,1.0
46,1.0
47,1.0
48,1.0
49,1.0
50,0.72
51,0.48
52,0.52
53,0.52
54,0.44
55,0.52
56,0.48
57,0.44
58,0.52
59,0.4
60,0.52
61,0.4
62,0.52
63,0.52
64,0.64
65,0.56
66,0.4
67,0.6
68,0.48
69,0.56
70,0.44
71,0.52
72,0.48
73,0.68
74,0.64
75,0.52
76,0.4
77,0.4
78,0.4
79,0.56
80,0.32
81,0.6
82,0.68
83,0.44
84,0.28
85,0.72
86,0.48
87,0.28
88,0.6
89,0.68
90,0.52
91,0.56
92,0.72
93,0.84
94,0.76
95,0.76
96,0.72
97,0.64
98,0.84
99,0.88
100,0.52
