,0
0,0.32
1,0.72
2,0.76
3,0.72
4,0.68
5,0.6
6,0.84
7,0.76
8,0.48
9,0.76
10,0.68
11,0.72
12,0.64
13,0.56
14,0.72
15,0.72
16,0.88
17,0.72
18,0.68
19,0.68
20,0.64
21,0.72
22,0.68
23,0.52
24,0.76
25,0.8
26,0.6
27,0.68
28,0.8
29,0.72
30,0.8
31,0.76
32,0.8
33,0.8
34,0.84
35,0.84
36,0.76
37,0.6
38,0.6
39,0.52
40,0.52
41,0.6
42,0.6
43,0.76
44,0.72
45,0.72
46,0.76
47,0.84
48,0.76
49,0.68
50,0.6
51,0.52
52,0.6
53,0.72
54,0.48
55,0.68
56,0.76
57,0.72
58,0.64
59,0.64
60,0.8
61,0.48
62,0.68
63,0.52
64,0.48
65,0.64
66,0.56
67,0.56
68,0.64
69,0.76
70,0.72
71,0.6
72,0.64
73,0.6
74,0.64
75,0.6
76,0.72
77,0.56
78,0.68
79,0.72
80,0.72
81,0.72
82,0.64
83,0.68
84,0.84
85,0.88
86,0.72
87,0.48
88,0.48
89,0.64
90,0.56
91,0.44
92,0.44
93,0.72
94,0.64
95,0.68
96,0.72
97,0.68
98,0.72
99,0.6
100,0.68
