,0
0,1.0
1,0.96
2,1.0
3,1.0
4,0.96
5,0.96
6,1.0
7,1.0
8,1.0
9,1.0
10,0.96
11,1.0
12,1.0
13,1.0
14,0.96
15,1.0
16,1.0
17,1.0
18,1.0
19,1.0
20,1.0
21,0.96
22,1.0
23,1.0
24,1.0
25,1.0
26,1.0
27,1.0
28,1.0
29,1.0
30,1.0
31,0.96
32,1.0
33,1.0
34,1.0
35,1.0
36,1.0
37,0.92
38,1.0
39,1.0
40,1.0
41,1.0
42,1.0
43,0.92
44,1.0
45,1.0
46,1.0
47,1.0
48,1.0
49,1.0
50,0.68
51,0.44
52,0.52
53,0.52
54,0.36
55,0.56
56,0.48
57,0.44
58,0.52
59,0.44
60,0.48
61,0.4
62,0.52
63,0.48
64,0.68
65,0.56
66,0.36
67,0.56
68,0.48
69,0.6
70,0.52
71,0.52
72,0.52
73,0.76
74,0.6
75,0.48
76,0.4
77,0.4
78,0.4
79,0.56
80,0.36
81,0.52
82,0.72
83,0.48
84,0.4
85,0.56
86,0.4
87,0.48
88,0.56
89,0.72
90,0.52
91,0.68
92,0.68
93,0.8
94,0.72
95,0.68
96,0.76
97,0.76
98,0.84
99,0.84
100,0.52
